name,input_sell_in,input_quality,expected_sell_in,expected_quality
Backstage passes to a TAFKAL80ETC concert,0,45,-1,0
Backstage passes to a TAFKAL80ETC concert,0,40,-1,0
Backstage passes to a TAFKAL80ETC concert,0,35,-1,0
Backstage passes to a TAFKAL80ETC concert,0,30,-1,0
Backstage passes to a TAFKAL80ETC concert,0,25,-1,0
Backstage passes to a TAFKAL80ETC concert,0,20,-1,0
Backstage passes to a TAFKAL80ETC concert,0,15,-1,0
Backstage passes to a TAFKAL80ETC concert,0,10,-1,0
Backstage passes to a TAFKAL80ETC concert,0,5,-1,0
Backstage passes to a TAFKAL80ETC concert,0,0,-1,0
Backstage passes to a TAFKAL80ETC concert,-5,50,-6,0
Backstage passes to a TAFKAL80ETC concert,-5,45,-6,0
Backstage passes to a TAFKAL80ETC concert,-5,40,-6,0
Backstage passes to a TAFKAL80ETC concert,-5,35,-6,0
Backstage passes to a TAFKAL80ETC concert,-5,30,-6,0
Backstage passes to a TAFKAL80ETC concert,-5,25,-6,0
Backstage passes to a TAFKAL80ETC concert,-5,20,-6,0
Backstage passes to a TAFKAL80ETC concert,-5,15,-6,0
Backstage passes to a TAFKAL80ETC concert,-5,10,-6,0
Backstage passes to a TAFKAL80ETC concert,-5,5,-6,0
Backstage passes to a TAFKAL80ETC concert,-5,0,-6,0
Backstage passes to a TAFKAL80ETC concert,-10,50,-11,0
Backstage passes to a TAFKAL80ETC concert,-10,45,-11,0
Backstage passes to a TAFKAL80ETC concert,-10,40,-11,0
Backstage passes to a TAFKAL80ETC concert,-10,35,-11,0
Backstage passes to a TAFKAL80ETC concert,-10,30,-11,0
Backstage passes to a TAFKAL80ETC concert,-10,25,-11,0
Backstage passes to a TAFKAL80ETC concert,-10,20,-11,0
Backstage passes to a TAFKAL80ETC concert,-10,15,-11,0
Backstage passes to a TAFKAL80ETC concert,-10,10,-11,0
Backstage passes to a TAFKAL80ETC concert,-10,5,-11,0
Backstage passes to a TAFKAL80ETC concert,-10,0,-11,0
Backstage passes to a TAFKAL80ETC concert,-15,50,-16,0
Backstage passes to a TAFKAL80ETC concert,-15,45,-16,0
Backstage passes to a TAFKAL80ETC concert,-15,40,-16,0
Backstage passes to a TAFKAL80ETC concert,-15,35,-16,0
Backstage passes to a TAFKAL80ETC concert,-15,30,-16,0
Backstage passes to a TAFKAL80ETC concert,-15,25,-16,0
Backstage passes to a TAFKAL80ETC concert,-15,20,-16,0
Backstage passes to a TAFKAL80ETC concert,-15,15,-16,0
Backstage passes to a TAFKAL80ETC concert,-15,10,-16,0
Backstage passes to a TAFKAL80ETC concert,-15,5,-16,0
Backstage passes to a TAFKAL80ETC concert,-15,0,-16,0
Backstage passes to a TAFKAL80ETC concert,-20,50,-21,0
Backstage passes to a TAFKAL80ETC concert,-20,45,-21,0
Backstage passes to a TAFKAL80ETC concert,-20,40,-21,0
Backstage passes to a TAFKAL80ETC concert,-20,35,-21,0
Backstage passes to a TAFKAL80ETC concert,-20,30,-21,0
Backstage passes to a TAFKAL80ETC concert,-20,25,-21,0
Backstage passes to a TAFKAL80ETC concert,-20,20,-21,0
Backstage passes to a TAFKAL80ETC concert,-20,15,-21,0
Backstage passes to a TAFKAL80ETC concert,-20,10,-21,0
Backstage passes to a TAFKAL80ETC concert,-20,5,-21,0
Backstage passes to a TAFKAL80ETC concert,-20,0,-21,0
Backstage passes to a TAFKAL80ETC concert,-25,50,-26,0
Backstage passes to a TAFKAL80ETC concert,-25,45,-26,0
Backstage passes to a TAFKAL80ETC concert,-25,40,-26,0
Backstage passes to a TAFKAL80ETC concert,-25,35,-26,0
Backstage passes to a TAFKAL80ETC concert,-25,30,-26,0
Backstage passes to a TAFKAL80ETC concert,-25,25,-26,0
Backstage passes to a TAFKAL80ETC concert,-25,20,-26,0
Backstage passes to a TAFKAL80ETC concert,-25,15,-26,0
Backstage passes to a TAFKAL80ETC concert,-25,10,-26,0
Backstage passes to a TAFKAL80ETC concert,-25,5,-26,0
Backstage passes to a TAFKAL80ETC concert,-25,0,-26,0
Backstage passes to a TAFKAL80ETC concert,-30,50,-31,0
Backstage passes to a TAFKAL80ETC concert,-30,45,-31,0
Backstage passes to a TAFKAL80ETC concert,-30,40,-31,0
Backstage passes to a TAFKAL80ETC concert,-30,35,-31,0
Backstage passes to a TAFKAL80ETC concert,-30,30,-31,0
Backstage passes to a TAFKAL80ETC concert,-30,25,-31,0
Backstage passes to a TAFKAL80ETC concert,-30,20,-31,0
Backstage passes to a TAFKAL80ETC concert,-30,15,-31,0
Backstage passes to a TAFKAL80ETC concert,-30,10,-31,0
Backstage passes to a TAFKAL80ETC concert,-30,5,-31,0
Backstage passes to a TAFKAL80ETC concert,-30,0,-31,0
Conjured Mana Cake,50,50,49,49
Conjured Mana Cake,50,45,49,44
Conjured Mana Cake,50,40,49,39
Conjured Mana Cake,50,35,49,34
Conjured Mana Cake,50,30,49,29
Conjured Mana Cake,50,25,49,24
Conjured Mana Cake,50,20,49,19
Conjured Mana Cake,50,15,49,14
Conjured Mana Cake,50,10,49,9
Conjured Mana Cake,50,5,49,4
Conjured Mana Cake,50,0,49,0
Conjured Mana Cake,45,50,44,49
Conjured Mana Cake,45,45,44,44
Conjured Mana Cake,45,40,44,39
Conjured Mana Cake,45,35,44,34
Conjured Mana Cake,45,30,44,29
Conjured Mana Cake,45,25,44,24
Conjured Mana Cake,45,20,44,19
Conjured Mana Cake,45,15,44,14
Conjured Mana Cake,45,10,44,9
Conjured Mana Cake,45,5,44,4
Conjured Mana Cake,45,0,44,0
Conjured Mana Cake,40,50,39,49
Conjured Mana Cake,40,45,39,44
Conjured Mana Cake,40,40,39,39
Conjured Mana Cake,40,35,39,34
Conjured Mana Cake,40,30,39,29
Conjured Mana Cake,40,25,39,24
Conjured Mana Cake,40,20,39,19
Conjured Mana Cake,40,15,39,14
Conjured Mana Cake,40,10,39,9
Conjured Mana Cake,40,5,39,4
Conjured Mana Cake,40,0,39,0
Conjured Mana Cake,35,50,34,49
Conjured Mana Cake,35,45,34,44
Conjured Mana Cake,35,40,34,39
Conjured Mana Cake,35,35,34,34
Conjured Mana Cake,35,30,34,29
Conjured Mana Cake,35,25,34,24
Conjured Mana Cake,35,20,34,19
Conjured Mana Cake,35,15,34,14
Conjured Mana Cake,35,10,34,9
Conjured Mana Cake,35,5,34,4
Conjured Mana Cake,35,0,34,0
Conjured Mana Cake,30,50,29,49
Conjured Mana Cake,30,45,29,44
Conjured Mana Cake,30,40,29,39
Conjured Mana Cake,30,35,29,34
Conjured Mana Cake,30,30,29,29
Conjured Mana Cake,30,25,29,24
Conjured Mana Cake,30,20,29,19
Conjured Mana Cake,30,15,29,14
Conjured Mana Cake,30,10,29,9
Conjured Mana Cake,30,5,29,4
Conjured Mana Cake,30,0,29,0
Conjured Mana Cake,25,50,24,49
Conjured Mana Cake,25,45,24,44
Conjured Mana Cake,25,40,24,39
Conjured Mana Cake,25,35,24,34
Conjured Mana Cake,25,30,24,29
Conjured Mana Cake,25,25,24,24
Conjured Mana Cake,25,20,24,19
Conjured Mana Cake,25,15,24,14
Conjured Mana Cake,25,10,24,9
Conjured Mana Cake,25,5,24,4
Conjured Mana Cake,25,0,24,0
Conjured Mana Cake,20,50,19,49
Conjured Mana Cake,20,45,19,44
Conjured Mana Cake,20,40,19,39
Conjured Mana Cake,20,35,19,34
Conjured Mana Cake,20,30,19,29
Conjured Mana Cake,20,25,19,24
Conjured Mana Cake,20,20,19,19
Conjured Mana Cake,20,15,19,14
Conjured Mana Cake,20,10,19,9
Conjured Mana Cake,20,5,19,4
Conjured Mana Cake,20,0,19,0
Conjured Mana Cake,15,50,14,49
Conjured Mana Cake,15,45,14,44
Conjured Mana Cake,15,40,14,39
Conjured Mana Cake,15,35,14,34
Conjured Mana Cake,15,30,14,29
Conjured Mana Cake,15,25,14,24
Conjured Mana Cake,15,20,14,19
Conjured Mana Cake,15,15,14,14
Conjured Mana Cake,15,10,14,9
Conjured Mana Cake,15,5,14,4
Conjured Mana Cake,15,0,14,0
Conjured Mana Cake,10,50,9,49
Conjured Mana Cake,10,45,9,44
Conjured Mana Cake,10,40,9,39
Conjured Mana Cake,10,35,9,34
Conjured Mana Cake,10,30,9,29
Conjured Mana Cake,10,25,9,24
Conjured Mana Cake,10,20,9,19
Conjured Mana Cake,10,15,9,14
Conjured Mana Cake,10,10,9,9
Conjured Mana Cake,10,5,9,4
Conjured Mana Cake,10,0,9,0
Conjured Mana Cake,5,50,4,49
Conjured Mana Cake,5,45,4,44
Conjured Mana Cake,5,40,4,39
Conjured Mana Cake,5,35,4,34
Conjured Mana Cake,5,30,4,29
Conjured Mana Cake,5,25,4,24
Conjured Mana Cake,5,20,4,19
Conjured Mana Cake,5,15,4,14
Conjured Mana Cake,5,10,4,9
Conjured Mana Cake,5,5,4,4
Conjured Mana Cake,5,0,4,0
Conjured Mana Cake,0,50,-1,46
Conjured Mana Cake,0,45,-1,41
Conjured Mana Cake,0,40,-1,36
Conjured Mana Cake,0,35,-1,31
Conjured Mana Cake,0,30,-1,26
Conjured Mana Cake,0,25,-1,21
Conjured Mana Cake,0,20,-1,16
Conjured Mana Cake,0,15,-1,11
Conjured Mana Cake,0,10,-1,6
Conjured Mana Cake,0,5,-1,1
Conjured Mana Cake,0,0,-1,0
Conjured Mana Cake,-5,50,-6,46
Conjured Mana Cake,-5,45,-6,41
Conjured Mana Cake,-5,40,-6,36
Conjured Mana Cake,-5,35,-6,31
Conjured Mana Cake,-5,30,-6,26
Conjured Mana Cake,-5,25,-6,21
Conjured Mana Cake,-5,20,-6,16
Conjured Mana Cake,-5,15,-6,11
Conjured Mana Cake,-5,10,-6,6
Conjured Mana Cake,-5,5,-6,1
Conjured Mana Cake,-5,0,-6,0
Conjured Mana Cake,-10,50,-11,46
Conjured Mana Cake,-10,45,-11,41
Conjured Mana Cake,-10,40,-11,36
Conjured Mana Cake,-10,35,-11,31
Conjured Mana Cake,-10,30,-11,26
Conjured Mana Cake,-10,25,-11,21
Conjured Mana Cake,-10,20,-11,16
Conjured Mana Cake,-10,15,-11,11
Conjured Mana Cake,-10,10,-11,6
Conjured Mana Cake,-10,5,-11,1
Conjured Mana Cake,-10,0,-11,0
Conjured Mana Cake,-15,50,-16,46
Conjured Mana Cake,-15,45,-16,41
Conjured Mana Cake,-15,40,-16,36
Conjured Mana Cake,-15,35,-16,31
Conjured Mana Cake,-15,30,-16,26
Conjured Mana Cake,-15,25,-16,21
Conjured Mana Cake,-15,20,-16,16
Conjured Mana Cake,-15,15,-16,11
Conjured Mana Cake,-15,10,-16,6
Conjured Mana Cake,-15,5,-16,1
Conjured Mana Cake,-15,0,-16,0
Conjured Mana Cake,-20,50,-21,46
Conjured Mana Cake,-20,45,-21,41
Conjured Mana Cake,-20,40,-21,36
Conjured Mana Cake,-20,35,-21,31
Conjured Mana Cake,-20,30,-21,26
Conjured Mana Cake,-20,25,-21,21
Conjured Mana Cake,-20,20,-21,16
Conjured Mana Cake,-20,15,-21,11
Conjured Mana Cake,-20,10,-21,6
Conjured Mana Cake,-20,5,-21,1
Conjured Mana Cake,-20,0,-21,0
Conjured Mana Cake,-25,50,-26,46
Conjured Mana Cake,-25,45,-26,41
Conjured Mana Cake,-25,40,-26,36
Conjured Mana Cake,-25,35,-26,31
Conjured Mana Cake,-25,30,-26,26
Conjured Mana Cake,-25,25,-26,21
Conjured Mana Cake,-25,20,-26,16
Conjured Mana Cake,-25,15,-26,11
Conjured Mana Cake,-25,10,-26,6
Conjured Mana Cake,-25,5,-26,1
Conjured Mana Cake,-25,0,-26,0
Conjured Mana Cake,-30,50,-31,46
Conjured Mana Cake,-30,45,-31,41
Conjured Mana Cake,-30,40,-31,36
Conjured Mana Cake,-30,35,-31,31
Conjured Mana Cake,-30,30,-31,26
Conjured Mana Cake,-30,25,-31,21
Conjured Mana Cake,-30,20,-31,16
Conjured Mana Cake,-30,15,-31,11
Conjured Mana Cake,-30,10,-31,6
Conjured Mana Cake,-30,5,-31,1
Conjured Mana Cake,-30,0,-31,0
"Sulfuras, Hand of Ragnaros",0,80,0,80
"Sulfuras, Hand of Ragnaros",-1,80,-1,80
